,,,tripduration,tripduration,tripduration,tripduration,tripduration
W 52 St & 11 Ave,40.76727216,-73.99392888,3033,2946052,71972,61,971.332673920211
W 52 St & 5 Ave,40.75992262,-73.97648516,2644,2636051,693547,61,996.9935703479576
W 52 St & 9 Ave,40.76461837,-73.98789473,2238,1577014,50922,62,704.6532618409294
W 53 St & 10 Ave,40.76669671,-73.99061728,2845,2251261,55504,61,791.3043936731107
W 54 St & 9 Ave,40.76584941,-73.98690506,1667,1106753,10259,61,663.9190161967606
W 56 St & 10 Ave,40.768254,-73.988639,3082,2443458,41862,62,792.8157040882544
W 56 St & 6 Ave,40.76340613,-73.97722479,3590,2621106,88830,66,730.1130919220055
W 59 St & 10 Ave,40.770513,-73.988038,3302,3858722,444872,60,1168.601453664446
W Broadway & Spring St,40.72490985,-74.00154702,3246,2498243,24157,62,769.6373998767714
W Houston St & Hudson St,40.72873888,-74.00748842,4903,4048286,86262,61,825.6753008362227
Warren St & Church St,40.71473993,-74.00910627,1678,1280948,90942,60,763.377830750894
Washington Ave & Greene Ave,40.68650065,-73.96563307,607,377166,5220,76,621.3607907742999
Washington Ave & Park Ave,40.69610226,-73.96751037,969,959320,110074,76,990.0103199174407
Washington Park,40.69178232,-73.97372989,671,389935,53926,62,581.1251862891207
Washington Pl & 6 Ave,40.73224119,-74.00026394,2756,1844263,201234,60,669.1810595065313
Washington Pl & Broadway,40.72903917,-73.99404649,3908,2592344,43233,63,663.3428863868986
Washington Square E,40.73049393,-73.99572140000001,3732,2785074,580700,60,746.2684887459807
Washington St & Gansevoort St,40.739323,-74.008119,3311,2367894,51895,62,715.159770462096
Water - Whitehall Plaza,40.70255065,-74.0127234,1589,1254169,13966,63,789.2819383259912
Watts St & Greenwich St,40.72405549,-74.00965965,2340,1858787,21807,60,794.3534188034188
West St & Chambers St,40.71754834,-74.01322069,5070,5300869,136762,60,1045.5362919132149
West Thames St,40.70834698,-74.01713445,2714,2482051,232791,66,914.536109064112
William St & Pine St,40.70717936,-74.00887308,1983,1773770,218890,62,894.4881492687847
Willoughby Ave & Hall St,40.69196035,-73.96536851,1060,1130556,252891,69,1066.5622641509433
Willoughby Ave & Walworth St,40.69331716,-73.95381995,565,767842,157406,138,1359.012389380531
Willoughby St & Fleet St,40.69196566,-73.9813018,1228,537643,20575,75,437.8200325732899
Wythe Ave & Metropolitan Ave,40.716887,-73.96319799999999,1142,1562654,72930,69,1368.3485113835377
York St & Jay St,40.7014851,-73.98656928,2129,1847502,195861,60,867.77923907938
