,,,tripduration,tripduration,tripduration,tripduration,tripduration
Driggs Ave & N 9 St,40.71816969454208,-73.95520135760306,8480,8779101,747560,61,1035.2713443396226
Driggs Ave & N Henry St,40.72325,-73.94308000000001,4873,3859683,117814,61,792.0547917094193
Duane St & Greenwich St,40.71748752,-74.0104554,6128,5270286,285303,61,860.0336161879895
Duffield St & Willoughby St,40.69221589,-73.9842844,5997,6806898,1138769,61,1135.0505252626313
Dwight St & Van Dyke St,40.67363551341504,-74.01195555925368,724,806196,5258,72,1113.5303867403316
E 10 St & 5 Ave,40.73331967,-73.99510132,11050,8918323,588057,61,807.0880542986425
E 10 St & Avenue A,40.72740794,-73.98142006,20937,19146269,262752,61,914.4705067583703
E 102 St & 1 Ave,40.7869946,-73.94164802,5898,7041757,1086432,62,1193.9228552051543
E 102 St & Park Ave,40.7904828,-73.95033068,2561,4437977,1388082,66,1732.907848496681
E 103 St & Lexington Ave,40.790305100000005,-73.94755757,3443,3177916,497988,66,923.0078419982574
E 106 St & 1 Ave,40.7892529,-73.93956237,2039,5496996,1334619,63,2695.9274153997058
E 106 St & Lexington Ave,40.791976,-73.945993,2038,2085870,126016,63,1023.4887144259078
E 106 St & Madison Ave,40.79343370000001,-73.94945003,2672,3720188,533838,65,1392.2859281437127
E 109 St & 3 Ave,40.79329668,-73.9432083,2537,2610326,214844,61,1028.9026409144658
E 11 St & 1 Ave,40.72953837,-73.98426726,16867,13591105,190683,61,805.7808146084069
E 11 St & 2 Ave,40.73047309,-73.98672378,13942,11372119,315297,61,815.6734327929996
E 11 St & Avenue B,40.727464206923926,-73.97950418293476,12570,9666749,157130,61,769.0333333333333
E 11 St & Broadway,40.73261787,-73.99158043,1636,1361489,274752,64,832.2059902200489
E 110 St & Madison Ave,40.796153499999996,-73.94782145,4813,6343031,844678,63,1317.8954913775192
E 114 St & 1 Ave,40.79456629999999,-73.9362541,2109,2119782,63730,64,1005.1123755334281
E 115 St & Lexington Ave,40.797911,-73.9423,2558,4163199,481555,61,1627.5211102423768
E 115 St & Madison Ave,40.7989445,-73.944846,1894,1843343,198960,61,973.2539598732841
E 116 St & 2 Ave,40.796879,-73.93726099999999,1943,2357647,259262,67,1213.4055584148225
E 118 St & 1 Ave,40.797470000000004,-73.93504,2416,2321475,180671,62,960.8754139072847
E 118 St & 3 Ave,40.799139000000004,-73.9389152,2265,2329290,523782,68,1028.3841059602648
E 118 St & Madison Ave,40.801486600000004,-73.9442507,1816,3685052,1864241,69,2029.2136563876652
E 118 St & Park Ave,40.8005385,-73.9419949,1241,1405107,209449,65,1132.2377115229654
E 12 St & 3 Ave,40.73223272,-73.98889957,15800,11424997,90622,61,723.1010759493671
E 12 St & 4 Av,40.732690000000005,-73.98974,3615,2639023,68495,61,730.020193637621
E 123 St & Lexington Ave,40.802926299999996,-73.9379,2148,1608108,23733,66,748.6536312849162
E 128 St & Madison Ave,40.807559999999995,-73.93918199999999,1596,5869799,1369300,62,3677.8189223057643
E 13 St & Avenue A,40.72966729392978,-73.98067966103555,22514,18383043,958843,62,816.5160788842499
E 15 St & 3 Ave,40.734232,-73.986923,16877,12444579,338737,61,737.3691414350892
E 16 St & 5 Ave,40.73726186,-73.99238967,18175,13588909,245352,61,747.6703713892709
E 16 St & Irving Pl,40.735367055605394,-73.98797392845155,11907,8462407,96282,62,710.7085747879398
E 17 St & Broadway,40.73704984,-73.99009296,32895,27201478,690194,62,826.9183158534731
E 19 St & 3 Ave,40.73624527,-73.98473765,11577,8501901,141153,62,734.3785954910599
E 2 St & 2 Ave,40.72502876,-73.99069656,14548,14323883,1388458,61,984.5946521858675
E 2 St & Avenue A,40.72307749068673,-73.98583620786667,15508,12086601,236494,61,779.3784498323446
E 2 St & Avenue B,40.72217444,-73.98368779,15266,13734031,1026713,61,899.6483034193633
E 2 St & Avenue C,40.720873600000004,-73.98085795,10401,10828858,782539,61,1041.136236900298
E 20 St & 2 Ave,40.73587678,-73.98205027,17228,14342592,984665,61,832.5163687021128
E 20 St & FDR Drive,40.73314259,-73.97573881,15492,12262226,80866,61,791.5198812290214
E 20 St & Park Ave,40.73827428,-73.98751968,15207,11518580,158994,64,757.4524889853357
E 23 St & 1 Ave,40.736502,-73.97809472,16799,12787705,49568,61,761.218227275433
E 24 St & Park Ave S,40.74096374,-73.98602213,22448,18316736,1478183,61,815.9629365645046
E 25 St & 1 Ave,40.7381765,-73.97738662,10808,8629628,185647,62,798.4481865284974
E 25 St & 2 Ave,40.73912601,-73.97973776,16836,14149329,360105,61,840.4210620099786
E 27 St & 1 Ave,40.739445,-73.97680600000001,12026,9954443,259744,61,827.7434724763013
E 30 St & Park Ave S,40.74444921,-73.98303529,12936,11954835,1795993,61,924.1523654916512
E 31 St & 3 Ave,40.74394314,-73.97966069,15363,11983020,81562,61,779.992189025581
E 32 St & Park Ave,40.745712100000006,-73.98194829,18560,13253255,381485,62,714.0762392241379
E 33 St & 1 Ave,40.74322681432173,-73.97449783980845,17313,14444203,179883,61,834.2980996938717
E 33 St & 5 Ave,40.74765947,-73.98490707,13236,12869367,1814772,61,972.3003173164097
E 39 St & 2 Ave,40.74780373,-73.97344190000001,16669,15404431,1100953,61,924.1364808926751
E 39 St & 3 Ave,40.7489006,-73.97604882,14633,11577570,78903,61,791.1959270142828
E 4 St & 2 Ave,40.726280700000004,-73.98978041,16125,13327414,393200,61,826.5062945736435
E 41 St & Madison Ave,40.752165280621966,-73.97992193698882,12686,9128486,91349,61,719.5716537915813
E 43 St & 2 Ave,40.75022392,-73.97121414,6358,5948405,154380,61,935.5780119534445
E 43 St & 5 Ave,40.754120810779256,-73.98025184869765,10009,8180714,181377,62,817.3357977819962
E 45 St & 3 Ave,40.75255434,-73.97282625,10639,9134440,237773,61,858.5806936742175
E 47 St & 1 Ave,40.75206862,-73.96784384,5743,5941823,410586,61,1034.6200592025075
E 47 St & 2 Ave,40.75323098,-73.97032517,9955,8249257,37445,61,828.6546459065796
E 47 St & Park Ave,40.75510267,-73.97498696,21997,17155894,174634,61,779.9197163249534
E 48 St & 3 Ave,40.7546011026,-73.971878855,8074,9764745,2239113,62,1209.406118404756
E 48 St & 5 Ave,40.75724567911726,-73.97805914282799,17966,15190126,381672,61,845.4929310920628
E 5 St & Avenue C,40.72299208,-73.97995466,7663,5971232,51722,62,779.2290225760146
E 51 St & 1 Ave,40.75455731,-73.96592976,6980,6476044,115976,61,927.8
E 51 St & Lexington Ave,40.75714758,-73.97207836,8704,7713257,68656,61,886.173828125
E 52 St & 2 Ave,40.756014,-73.967416,10623,9794748,26686,61,922.0321942953968
E 53 St & 3 Ave,40.75763227739443,-73.9693057537079,10022,8948971,76703,61,892.9326481740171
E 53 St & Madison Ave,40.75971079999999,-73.97402311,9635,7960099,98995,61,826.1649195640892
E 55 St & 2 Ave,40.75797322,-73.96603308,7166,6289953,97514,61,877.7495115824728
E 55 St & 3 Ave,40.758996559605116,-73.96865397691727,7135,6161667,20064,61,863.5833216538192
E 55 St & Lexington Ave,40.75968085,-73.97031366,8382,7539307,42571,62,899.4639704127893
E 58 St &  1 Ave (NW Corner),40.759125,-73.96265799999999,5964,5760763,107555,61,965.9227028839705
E 58 St & 1 Ave (NE Corner),40.75892386377695,-73.96226227283478,3778,3817128,224789,61,1010.356802541027
E 58 St & 3 Ave,40.76095756,-73.96724467,12968,11583731,68048,61,893.2550123380629
E 58 St & Madison Ave,40.763025942805186,-73.97209525108337,2345,2198983,49646,61,937.7326226012793
E 59 St & Madison Ave,40.76350532,-73.97109243,8826,8383175,69830,61,949.8272150464537
E 6 St & Avenue B,40.72453734,-73.98185424,14602,11844804,332870,61,811.1768250924531
E 6 St & Avenue D,40.72228087,-73.97668709,9068,10993591,521437,61,1212.3501323334804
E 60 St & York Ave,40.759107,-73.959223,3617,4259547,98683,61,1177.6463920376002
E 65 St & 2 Ave,40.76471851944339,-73.96222069859505,5011,4388812,20708,61,875.8355617641189
E 66 St & Madison Ave,40.768008893059466,-73.96845281124116,3095,3675571,149620,63,1187.58352180937
E 67 St & Park Ave,40.76780080148132,-73.96592080593109,2974,2871287,117276,64,965.4630127774042
E 68 St & 3 Ave,40.76712840349542,-73.96224617958069,3756,2786590,39292,62,741.9036208732695
E 68 St & Madison Ave,40.7691572,-73.96703464,3379,3176876,19740,63,940.182302456348
E 7 St & Avenue A,40.72621788,-73.98379855,19761,17188705,1184508,61,869.8297150953899
E 72 St & Park Ave,40.77118287540658,-73.96409422159195,5299,5827418,685180,61,1099.7203245895453
E 72 St & York Ave,40.76663814,-73.95348296,9615,8927070,31403,65,928.4524180967238
E 74 St & 1 Ave,40.7689738,-73.95482273,7923,7034103,52787,63,887.8080272624006
E 75 St & 3 Ave,40.77112927,-73.95772297,4751,5850957,1676179,63,1231.5211534413809
E 76 St & Park Ave,40.773763,-73.96222088,4843,4460374,68942,62,920.9940119760479
E 77 St & 3 Ave,40.77314236,-73.95856158,5043,4026884,45506,61,798.5096172912948
E 78 St & 2 Ave,40.7727966,-73.95577801,4211,3636769,16123,61,863.6354785086678
E 81 St & 2 Ave,40.77477944895728,-73.95427465438844,5352,5839803,523354,62,1091.1440582959642
E 81 St & 3 Ave,40.77573034,-73.9567526,4204,3533640,68432,61,840.5423406279733
E 81 St & Park Ave,40.77677702,-73.95900970000001,1973,1831298,46582,62,928.1794221996959
E 81 St & York Ave,40.7728384,-73.94989233,5592,5022944,452590,64,898.2374821173105
E 82 St & East End Ave,40.7724607,-73.9468208,4033,3808273,14250,69,944.2779568559386
E 84 St & 1 Ave,40.77565541,-73.95068615,6939,5804599,33439,61,836.5180861795648
E 84 St & 3 Ave,40.777553742988864,-73.95512759685515,8819,8022994,379731,61,909.7396530218846
E 84 St & Park Ave,40.77862688,-73.95772073,5091,5067131,165531,61,995.3115301512473
E 85 St & York Ave,40.77536905,-73.94803392,3531,3186440,101552,61,902.4185783064288
E 88 St & 1 Ave,40.778301,-73.9488134,6088,5630063,21475,61,924.7803876478318
E 88 St & Park Ave,40.781410700190015,-73.95595908164978,3871,3945400,334608,61,1019.219839834668
E 89 St & 3 Ave,40.7806284,-73.9521667,5766,5941504,447694,65,1030.4377384668749
E 89 St & York Ave,40.7779453,-73.94604100000001,4462,4291048,31041,65,961.6871358135365
E 9 St & Avenue C,40.72521311,-73.97768752,12767,13299620,1685198,61,1041.7184929897392
E 91 St & 2 Ave,40.781122299341654,-73.94965589046478,6615,6874149,526286,61,1039.1759637188209
E 91 St & Park Ave,40.7835016,-73.955327,4208,4865954,628164,61,1156.3578897338402
E 93 St & 2 Ave,40.78245417527987,-73.94891962409021,3717,3389357,14680,64,911.8528383104655
E 97 St & 3 Ave,40.7859201,-73.94860294,1801,1514662,13850,65,841.011660188784
E 97 St & Madison Ave,40.787801,-73.953559,5392,5686674,27205,61,1054.650222551929
E 98 St & Park Ave,40.788129999999995,-73.95206,1457,1247600,4691,61,856.2800274536719
East End Ave & E 86 St,40.77518615,-73.94446054,3007,3439223,84340,63,1143.7389424675757
Eastern Pkwy & Franklin Ave,40.670776700000005,-73.9576801,5403,14350498,2245318,65,2656.0240607070145
Eastern Pkwy & Washington Ave,40.6716493,-73.9631145,3991,6558938,1069297,64,1643.4322225006265
Eckford St & Engert Ave,40.72146256229816,-73.94800901412964,1975,2265256,557759,65,1146.9650632911391
Emerson Pl & Myrtle Ave,40.69363137,-73.96223558,4361,4069597,226286,64,933.1797752808989
FDR Drive & E 35 St,40.744219,-73.97121214,16706,18385969,293743,61,1100.5608164731234
Flushing Ave & Vanderbilt Ave,40.69795031569544,-73.97077560424805,5157,5491686,109903,63,1064.8993600930773
Forsyth St & Broome St,40.71893904,-73.99266288,15484,13593784,1032458,61,877.9245672952726
Forsyth St & Canal St,40.715815500000005,-73.99422366,14241,14299244,160009,61,1004.0898813285584
Franklin Ave & Empire Blvd,40.663140000000006,-73.96056949999999,4603,13912368,2118682,61,3022.456658700847
Franklin Ave & Myrtle Ave,40.694546087246025,-73.95801365375519,2145,2113852,53735,63,985.4787878787879
Franklin Ave & St Marks Ave,40.6758324,-73.95616770000001,2880,2780751,393567,61,965.5385416666667
Franklin St & Dupont St,40.735640000000004,-73.95866,4379,3833840,47336,61,875.5058232473167
Franklin St & W Broadway,40.71911552,-74.00666661,8308,7756876,283042,61,933.6634569090033
Frederick Douglass Blvd & W 112 St,40.801694,-73.957145,5439,6186371,73605,63,1137.40963412392
Frederick Douglass Blvd & W 115 St,40.8038654,-73.95593079999999,3882,6034919,1465782,63,1554.590159711489
Frederick Douglass Blvd & W 117 St,40.805159,-73.95469200000001,5649,10532135,1402258,62,1864.4246769339707
Frederick Douglass Blvd & W 129 St,40.8125511,-73.9492286,1997,13590513,2248706,64,6805.464697045569
Front St & Gold St,40.70224,-73.982578,4497,5034247,222216,63,1119.4678674672004
Front St & Maiden Ln,40.70530954,-74.00612572,8687,10413357,58065,62,1198.7287901461955
Front St & Washington St,40.70255088,-73.98940236,10388,14809958,1759473,61,1425.679437812861
Frost St & Meeker Ave,40.71766197083994,-73.94880026578903,1888,1561619,44614,65,827.1287076271186
Fulton St & Adams St,40.692418292578466,-73.98949474096298,9519,17424852,1562412,62,1830.5338796092026
Fulton St & Broadway,40.711065999999995,-74.009447,13558,15906371,1184041,61,1173.2092491517924
Fulton St & Clermont Ave,40.68415748,-73.96922273,2611,4746101,1119247,61,1817.733052470318
Fulton St & Grand Ave,40.68223166,-73.9614583,3950,4733801,858580,63,1198.4306329113924
Fulton St & Rockwell Pl,40.688226,-73.979382,1157,1591259,685991,61,1375.331892826275
Fulton St & Rockwell Pl,40.68841,-73.979458,2529,2351814,301259,61,929.938315539739
Fulton St & Utica Ave,40.6794268,-73.92989109999999,2372,21769706,2483247,61,9177.784991568296
Fulton St & Waverly Ave,40.68323865460341,-73.96599590778352,4670,3845892,82754,69,823.5314775160599
Fulton St & William St,40.70955958,-74.00653609,7945,8312619,227592,61,1046.2704845814978
Gansevoort St & Hudson St,40.73944820130404,-74.00507032871245,19260,19711241,1011216,61,1023.4289200415369
Garfield Pl & 8 Ave,40.671197799999995,-73.97484126,3379,2631277,87637,68,778.7147084936372
George St & Wilson Ave,40.702996999999996,-73.92997,1216,2850898,643772,68,2344.4884868421054
Graham Ave & Conselyea St,40.715143,-73.944507,7013,5762635,601760,61,821.7075431341793
Graham Ave & Grand St,40.711863,-73.944024,4200,9133256,1399626,70,2174.5847619047618
Graham Ave & Herbert St,40.71929301,-73.94500379,2319,1748379,370732,66,753.9366106080207
Graham Ave & Withers St,40.7169811,-73.94485918,3157,3247503,564902,62,1028.6674057649668
Grand Army Plaza & Central Park S,40.764397100000004,-73.97371465,24626,38027918,494189,61,1544.2182246406237
Grand Army Plaza & Plaza St West,40.6729679,-73.97087984,8571,11000943,509188,61,1283.5075253762689
Grand Ave & Bergen St,40.678045000000004,-73.962408,3616,2754631,36190,70,761.789546460177
Grand St & Elizabeth St,40.718821999999996,-73.99596,22127,21174773,621128,61,956.9653816604149
Grand St & Havemeyer St,40.71286844,-73.95698119,6393,7058278,455046,68,1104.0635069607383
Great Jones St,40.72743423,-73.99379025,21521,15016251,299147,61,697.7487570280191
Greene Av & Myrtle Av,40.698568,-73.918877,1504,2622222,152311,61,1743.498670212766
Greene Ave & Nostrand Ave,40.68833370000001,-73.950916,2279,4972132,1369228,61,2181.716542343133
Greene Ave & Throop Ave,40.6894932,-73.942061,1929,3591379,799210,98,1861.7827890098497
Greenpoint Ave & Manhattan Ave,40.730259999999994,-73.95394,5506,6470833,1530568,61,1175.2330185252451
Greenwich Ave & 8 Ave,40.7390169121,-74.0026376103,13909,12073874,404713,61,868.0619742612697
Greenwich Ave & Charles St,40.735238,-74.000271,13749,12382512,2057249,62,900.6118263146411
Greenwich St & W Houston St,40.728846000000004,-74.00859100000001,17166,22715202,1465840,62,1323.2670394966794
Halsey St & Tompkins Ave,40.682368700000005,-73.944118,2339,9323595,1371826,67,3986.145788798632
Hancock St & Bedford Ave,40.68216564,-73.95399026,2301,14624159,3245687,63,6355.566710126032
Handlebar @ Gowanus,40.66979964220026,-73.99497985839844,1,651,651,651,651.0
Hanson Pl & Ashland Pl,40.68506807308177,-73.97790759801863,11592,12080074,570766,61,1042.1043823326431
Harrison St & Hudson St,40.71870987,-74.0090009,5691,5815924,467394,61,1021.9511509400809
Hart St & Wyckoff Ave,40.704876,-73.919911,469,926182,329485,77,1974.8017057569296
Henry St & Atlantic Ave,40.69089272,-73.99612349,6037,5333954,289926,63,883.5438131522279
Henry St & Bay St,40.672505799999996,-74.00494695,629,671394,72826,72,1067.3990461049284
Henry St & Degraw St,40.684751399999996,-73.99917254,4510,3415889,154306,62,757.4033259423503
Henry St & Grand St,40.714215,-73.981346,10233,8006903,378747,61,782.4590051793218
Henry St & Middagh St,40.7003,-73.99158100000001,2456,3001884,561260,65,1222.2654723127037
Henry St & Poplar St,40.700469,-73.991454,2020,2442203,138849,69,1209.011386138614
Henry St & W 9 St,40.6763744,-74.00324957,717,593601,13378,76,827.8953974895397
Hicks St & Montague St,40.69512845,-73.99595065,7255,7004921,389375,61,965.5301171605789
Hope St & Union Ave,40.71167351,-73.95141312,5362,5968748,785621,61,1113.1570309585975
Howard St & Centre St,40.71910537,-73.99973337,13269,11822316,413102,61,890.972643002487
Hudson St & Reade St,40.71625008,-74.0091059,9242,9428989,782655,61,1020.2325254273967
Humboldt St & Varet St,40.7031724,-73.940636,1673,4147957,1049159,73,2479.352659892409
Huron St & Franklin St,40.732659999999996,-73.95826,5671,5158923,84547,61,909.7025216011285
India St & Manhattan Ave,40.73232194,-73.9550858,4903,4446826,171525,64,906.9602284315725
India St & West St,40.73181401720966,-73.95995020866394,3165,2932124,500289,64,926.4214849921011
Irving Ave & DeKalb Ave,40.7027,-73.92095,463,699773,63463,87,1511.388768898488
Irving Ave & Jefferson St,40.70538,-73.92535,1272,1752722,18157,67,1377.9261006289307
Jackson Ave & 46 Rd,40.74524768,-73.94733276,1915,2427444,512454,64,1267.594778067885
Jackson St & Leonard St,40.716380319735606,-73.94821286201476,1186,1004554,36502,64,847.0101180438448
Jay St & Tech Pl,40.695065,-73.987167,7312,13209008,1341434,62,1806.4835886214441
Jay St & York St,40.70140317257725,-73.98672670125961,12795,16826637,863679,61,1315.0947245017585
John St & William St,40.70862144,-74.00722156,6017,6393111,522153,61,1062.5080604952634
Johnson St & Gold St,40.69474881,-73.98362464,4464,7516202,1513798,61,1683.7370071684588
Kane St & Clinton St,40.686175799999994,-73.99645295,4162,3033141,36338,64,728.7700624699663
Kent Ave & N 7 St,40.72036775298455,-73.96165072917937,14179,18926840,2123501,61,1334.8501304746455
Kent Ave & S 11 St,40.7076449441757,-73.96841526031494,6552,7926560,356192,61,1209.7924297924299
Kingston Ave & Herkimer St,40.67890679,-73.94142771,2148,11770465,1912012,64,5479.732309124767
Knickerbocker Ave & George St,40.704425,-73.92836,466,3629269,2021614,61,7788.130901287554
Knickerbocker Ave & Thames St,40.70539,-73.92976,549,1218411,447742,92,2219.3278688524592
Kosciuszko St & Nostrand Ave,40.69072549,-73.95133465,2455,4925686,1234498,64,2006.3894093686354
Kosciuszko St & Tompkins Ave,40.69128258,-73.9452416,2749,4841973,785127,68,1761.3579483448527
LaGuardia Pl & W 3 St,40.72917025,-73.99810231,15501,12868314,139755,61,830.1602477259531
Lafayette Ave & Classon Ave,40.68900443,-73.96023854,5189,4323545,52799,61,833.2135286182308
Lafayette Ave & Fort Greene Pl,40.68691865,-73.976682,5757,5785890,317099,61,1005.0182386659718
Lafayette Ave & St James Pl,40.68851534,-73.9647628,5522,4573586,410440,63,828.2480985150307
Lafayette St & E 8 St,40.73020660529954,-73.99102628231049,25636,21061223,1582602,61,821.5487205492276
Lafayette St & Jersey St,40.72430527250332,-73.99600982666016,17748,14963147,366169,61,843.0891931485238
Laight St & Hudson St,40.72185379,-74.00771779,3589,3319765,49851,61,924.9832822513235
Lawrence St & Willoughby St,40.69236178,-73.98631746,7673,12975096,1820674,61,1691.0069073374168
Lefferts Pl & Franklin Ave,40.680342423,-73.9557689392,2811,3622608,679503,63,1288.7257203842048
Lenox Ave & W 111 St,40.7987859,-73.9523,9468,19436697,2398576,61,2052.883079847909
Lenox Ave & W 115 St,40.8011939,-73.9500739,2775,9239712,2809324,63,3329.625945945946
Lenox Ave & W 117 St,40.8025566,-73.9490782,4252,9417752,1356744,61,2214.8993414863594
Lenox Ave & W 126 St,40.808442,-73.94520870000001,4594,28023573,2655419,62,6100.037657814541
Lenox Ave & W 130 St,40.8107922,-73.9430681,4146,22156475,1864194,68,5344.060540279787
Leonard St & Boerum St,40.70583339,-73.94644578,1930,2136508,91763,61,1106.99896373057
Leonard St & Church St,40.717571,-74.005549,7381,5929506,20102,62,803.3472429210134
Leonard St & Maujer St,40.71036854235229,-73.94705951213838,3137,3612928,858262,62,1151.7143767931145
Leonard St & Nassau Ave,40.7239567849954,-73.94984364509583,5138,3646173,176875,61,709.6483067341378
Lewis Ave & Decatur St,40.6814598,-73.934903,1351,7367834,2445675,62,5453.615099925981
Lewis Ave & Kosciuszko St,40.69237074,-73.93705428,2262,3987169,397795,63,1762.6741821396993
Lewis Ave & Madison St,40.686312,-73.935775,2799,6698281,1259244,61,2393.097892104323
Lexington Ave & Classon Ave,40.68676793,-73.95928168,3588,3466810,97706,61,966.2235228539577
Lexington Ave & E 111 St,40.79541210000001,-73.9441232,2922,3985020,1128696,62,1363.7987679671457
Lexington Ave & E 120 St,40.8013066,-73.93981670000001,1376,1715985,259422,64,1247.0821220930231
Lexington Ave & E 127 St,40.805726,-73.936322,1358,3498716,1387150,63,2576.3740795287185
Lexington Ave & E 26 St,40.741459000000006,-73.983293,17631,14973797,901258,61,849.2880154273722
Lexington Ave & E 29 St,40.74311555376486,-73.98215353488922,12049,10031751,1122784,61,832.5795501701386
Lexington Ave & E 36 St,40.747573958954796,-73.97880077362059,7741,6100367,46531,63,788.059294664772
Lexington Ave & E 63 St,40.76440023,-73.96648977,7031,6431135,166756,62,914.6828331674016
Liberty St & Broadway,40.70905623,-74.01043382,12562,17854431,2046109,61,1421.3048081515683
Lincoln Pl & Classon Ave,40.672168299999996,-73.9609,1648,1460548,94162,71,886.254854368932
Lispenard St & Broadway,40.71939226,-74.00247214,13665,13155846,873458,63,962.7402854006586
Little West St & 1 Pl,40.70569254,-74.01677685,18750,22904718,101715,61,1221.58496
Lorimer St & Broadway,40.70411791,-73.94818595,1836,1620043,44357,62,882.3763616557734
MacDougal St & Prince St,40.72710258,-74.00297088,19516,18509973,615859,61,948.4511682721869
MacDougal St & Washington Sq,40.73226398,-73.99852205,12735,11032907,274787,61,866.3452689438556
Macon St & Nostrand Ave,40.6809833854,-73.9500479759,4757,11075276,2306979,65,2328.2060121925583
Madison Ave & E 120 St,40.80295,-73.942954,1411,2104933,745334,63,1491.80226789511
Madison Ave & E 82 St,40.7781314,-73.96069399,6896,9315982,478224,61,1350.925464037123
Madison Ave & E 99 St,40.78948541553215,-73.9524292945862,3455,3335183,345965,62,965.3206946454413
Madison St & Clinton St,40.71269042,-73.98776323,6228,6053504,476584,62,971.9820166987797
Madison St & Montgomery St,40.713126,-73.984844,5681,5655567,542340,62,995.523147333216
Maiden Ln & Pearl St,40.70706456,-74.00731853,6897,11911397,2843331,61,1727.0403073800203
Marcus Garvey Blvd & Macon St,40.682601,-73.938037,1856,3705924,570971,66,1996.7262931034484
Marcy Ave & Lafayette Ave,40.6900815,-73.94791500000001,1858,9098739,1531116,62,4897.060818083961
Market St & Cherry St,40.71076228,-73.99400398,5518,5456261,173298,62,988.8113446901051
McGuinness Blvd & Eagle St,40.73555,-73.95284000000001,5845,5944818,682544,67,1017.07750213858
McKibbin St & Bogart St,40.706237,-73.933871,1695,1931386,42752,61,1139.4607669616519
McKibbin St & Manhattan Ave,40.70510918,-73.94407279,1657,1894804,140561,63,1143.514785757393
Mercer St & Bleecker St,40.72706363348306,-73.99662137031554,16191,15043493,1311310,63,929.1268606015688
Mercer St & Spring St,40.72362738,-73.99949601,14384,15826907,846970,61,1100.3133342602891
Meserole Ave & Manhattan Ave,40.72708584,-73.95299117,7240,5287727,36839,63,730.3490331491713
Metropolitan Ave & Bedford Ave,40.71534825,-73.96024116,14266,13520550,504345,61,947.7463900182252
Metropolitan Ave & Meeker Ave,40.71413311,-73.95234386,5590,6394723,1655147,61,1143.9576028622541
Milton St & Franklin St,40.72906,-73.95779,10467,10201447,400533,66,974.6295022451515
Monroe St & Bedford Ave,40.6851443,-73.95380904,3780,3846365,420728,61,1017.5568783068783
Monroe St & Classon Ave,40.684568299999995,-73.95881081,2928,2753078,79920,61,940.2588797814208
Monroe St & Tompkins Ave,40.686203000000006,-73.944694,2610,20426970,2041490,70,7826.425287356322
Montgomery St & Franklin Ave,40.666439306870814,-73.96055638790129,647,638925,26040,63,987.5193199381762
Montrose Ave & Bushwick Ave,40.70767788,-73.94016171,3835,5945793,1233527,62,1550.4023468057367
Morningside Ave & W 123 St,40.81,-73.9551508,2446,4458637,238845,62,1822.8278822567456
Morningside Dr & Amsterdam Ave,40.81028506306003,-73.95736455917357,887,1563051,582293,72,1762.1770011273957
Mott St & Prince St,40.72317958,-73.99480012,16388,15487406,608703,62,945.0455211130095
Mt Morris Park W & W 120 St,40.804038,-73.945925,2550,2885396,273245,61,1131.5278431372549
Murray St & Greenwich St,40.71485150526252,-74.01122331619263,11855,11387004,80771,61,960.5233234921974
Murray St & West St,40.7149787,-74.013012,11122,12915040,760848,61,1161.2156087034707
Myrtle Ave & Lewis Ave,40.69681963,-73.93756926,3826,6396755,2046352,61,1671.9171458442238
Myrtle Ave & Marcy Ave,40.69539817,-73.94954908,2333,7742797,1352038,61,3318.815687955422
Myrtle Ave & St Edwards St,40.69327018,-73.97703874,2767,5135892,456300,62,1856.1228767618359
N 11 St & Kent Ave,40.72248188638219,-73.95921930670737,4217,6342917,1369628,63,1504.1301873369694
N 12 St & Bedford Ave,40.72079821,-73.95484712,6580,6802181,252686,61,1033.7661094224925
N 15 St & Wythe Ave,40.724055,-73.955736,2443,2662102,233591,63,1089.6856324191567
N 6 St & Bedford Ave,40.71745169,-73.95850939,13314,11953812,947385,63,897.8377647589004
NYCBS DEPOT - DELANCEY,40.71644423134479,-73.9823305606842,1,488,488,488,488.0
NYCBS Depot - GOW,40.66906013501107,-73.99463653564453,88,86289,6079,103,980.5568181818181
Nassau Ave & Newell St,40.724812564400175,-73.94752621650694,4742,4178353,87754,61,881.1372838464782
Nassau Ave & Russell St,40.725570000000005,-73.94434,6920,5067595,77742,62,732.3114161849711
Nassau St & Navy St,40.69839895,-73.98068914,3507,8605137,1290294,63,2453.7031650983745
Newton Rd & 44 St,40.7595701,-73.91426779999999,1202,1377360,90967,65,1145.8901830282862
Newtown Ave & 23 St,40.7713615,-73.9246145,1908,1148205,8365,67,601.7845911949686
Norfolk St & Broome St,40.7172274,-73.98802084,12390,12879771,518638,61,1039.529539951574
North Moore St & Greenwich St,40.72019521437465,-74.0103006362915,19563,18285371,1021407,61,934.6915605990902
Nostrand Ave & Myrtle Ave,40.69527008,-73.95238108,1502,3477126,1130230,62,2314.9973368841543
Old Fulton St,40.70277159,-73.99383605,12481,23018060,902496,61,1844.248057046711
Old Slip & Front St,40.703799200000006,-74.00838676,7845,8707802,160558,61,1109.981134480561
Pacific St & Classon Ave,40.67919439999999,-73.95879029999999,1081,1673693,412503,70,1548.2821461609622
Pacific St & Nevins St,40.6853761,-73.98302136,3369,3730681,598503,64,1107.3555951320866
Park Ave & E 124 St,40.8045555,-73.93968609999999,7822,8842906,600742,61,1130.51725901304
Park Ave & Marcus Garvey Blvd,40.698617,-73.941342,1636,5763736,1258742,62,3523.0660146699265
