,,,tripduration,tripduration,tripduration,tripduration,tripduration
,,,count,sum,max,min,mean
start station name,start station latitude,start station longitude,,,,,
W 38 St & 8 Ave,40.75466591,-73.99138152,14465,11082330,20882,60,766.1479433114414
W 39 St & 9 Ave,40.75645824,-73.99372222,13007,10448358,16696,60,803.2873068347812
W 4 St & 7 Ave S,40.73401143,-74.00293877,13677,10900165,18856,60,796.9704613584851
W 41 St & 8 Ave,40.75640548,-73.9900262,14178,10938224,18276,60,771.4927352235858
W 42 St & 8 Ave,40.75756989999999,-73.99098507,9303,7482509,20636,61,804.3114049231431
W 43 St & 10 Ave,40.76009437,-73.99461843,9503,8578760,15783,60,902.7422919078186
W 44 St & 5 Ave,40.75500254,-73.98014437,6738,5390990,12661,60,800.0875630750965
W 45 St & 6 Ave,40.7568001,-73.98291153,9170,7217679,21451,60,787.0969465648855
W 45 St & 8 Ave,40.75929124,-73.98859651,6807,5808457,18915,61,853.3064492434258
W 46 St & 11 Ave,40.76341379,-73.99667444,6851,7301131,16745,60,1065.7029630710845
W 47 St & 10 Ave,40.76269882,-73.99301222,6874,5977299,14414,61,869.5517893511784
W 49 St & 5 Ave,40.75795248,-73.97787642,7165,5574064,14777,60,777.9572923935799
W 49 St & 8 Ave,40.76227205,-73.98788205,10216,8264111,21327,60,808.9380383711824
W 51 St & 6 Ave,40.7606597,-73.98042047,7500,6553940,20646,60,873.8586666666666
W 52 St & 11 Ave,40.76727216,-73.99392888,8067,8951092,20582,60,1109.5936531548284
W 52 St & 5 Ave,40.75992262,-73.97648516,4950,4212119,19313,60,850.9331313131313
W 52 St & 9 Ave,40.76461837,-73.98789473,4971,3929777,17559,61,790.5405351036009
W 53 St & 10 Ave,40.76669671,-73.99061728,6680,6068534,15371,60,908.4631736526946
W 54 St & 9 Ave,40.76584941,-73.98690506,4662,3881244,20356,60,832.5276705276706
W 56 St & 10 Ave,40.768254,-73.988639,4151,3846372,21174,60,926.613346181643
W 56 St & 6 Ave,40.76340613,-73.97722479,8685,9052266,21129,60,1042.2873920552677
W 59 St & 10 Ave,40.770513,-73.988038,7976,9444730,21004,61,1184.1436810431294
W Broadway & Spring St,40.72490985,-74.00154702,11446,10129787,21014,60,885.0067272409575
W Houston St & Hudson St,40.72873888,-74.00748842,15666,14134220,18182,60,902.2226477722456
Warren St & Church St,40.71473993,-74.00910627,4636,4256722,20225,62,918.188524590164
Washington Ave & Greene Ave,40.68650065,-73.96563307,1306,1084607,20415,70,830.4800918836141
Washington Ave & Park Ave,40.69610226,-73.96751037,1929,1793662,18421,60,929.8403317781234
Washington Park,40.69178232,-73.97372989,2047,1395026,20178,68,681.4978016609673
Washington Pl & 6 Ave,40.73224119,-74.00026394,7089,5054175,18910,61,712.9602200592467
Washington Pl & Broadway,40.72903917,-73.99404649,7969,5799556,15924,60,727.7645877776383
Washington Square E,40.73049393,-73.99572140000001,11233,7937751,19549,60,706.6456868156325
Washington St & Gansevoort St,40.739323,-74.008119,10477,9951678,21372,60,949.8595017657726
Water - Whitehall Plaza,40.70255065,-74.0127234,3847,4767580,20173,63,1239.2981544060306
Watts St & Greenwich St,40.72405549,-74.00965965,7591,6754695,19942,60,889.8294032406798
West St & Chambers St,40.71754834,-74.01322069,22221,25513947,20849,60,1148.1907654921022
West Thames St,40.70834698,-74.01713445,9980,10982787,21325,60,1100.4796593186372
William St & Pine St,40.70717936,-74.00887308,5225,5130117,14982,60,981.8405741626794
Willoughby Ave & Hall St,40.69196035,-73.96536851,2303,1865086,14581,61,809.8506296135475
Willoughby Ave & Walworth St,40.69331716,-73.95381995,1589,1840139,17444,61,1158.0484581497797
Willoughby St & Fleet St,40.69196566,-73.9813018,2658,1642367,20729,64,617.8957863054928
Wythe Ave & Metropolitan Ave,40.716887,-73.96319799999999,5771,8903567,21254,60,1542.8118177092358
York St & Jay St,40.7014851,-73.98656928,5039,4988641,20645,62,990.0061520142885
